id	user_id	sound_sample	sound_file_1	sound_file_2	human	preferred	distinction	comment
94	9	07.wav	c	b	1	1	2	
95	9	07.wav	b	a	1	1	1	
96	9	05.wav	a	b	1	1	3	
97	9	08.wav	a	b	1	1	2	
98	10	04.wav	b	c	2	2	4	Intensity variations on sample A sound random
99	10	08.wav	b	c	2	2	4	
100	10	05.wav	c	b	1	1	2	
101	10	05.wav	b	a	1	1	3	
102	10	07.wav	c	a	1	1	3	
103	10	07.wav	a	b	2	2	1	
104	10	02.wav	a	b	1	1	2	
105	10	01.wav	b	a	1	1	2	
106	10	02.wav	c	b	1	1	3	
107	10	03.wav	a	c	1	1	1	
108	10	04.wav	a	b	1	1	5	
109	10	06.wav	c	b	1	1	2	
110	14	02.wav	b	c	1	1	1	
111	14	08.wav	c	b	2	2	1	
112	14	07.wav	b	a	1	1	1	
113	14	04.wav	a	b	2	2	1	
114	14	06.wav	a	c	2	2	1	
115	14	07.wav	b	c	2	2	1	
116	14	03.wav	c	b	2	2	1	
117	14	06.wav	b	a	2	2	1	
118	14	01.wav	b	c	2	2	1	
119	14	05.wav	b	a	2	2	1	
120	14	08.wav	b	a	2	2	1	
121	14	01.wav	a	c	2	2	1	
122	15	08.wav	b	a	1	2	5	
123	16	06.wav	b	a	1	2	4	
124	16	07.wav	c	b	2	2	4	
125	16	04.wav	c	a	2	2	4	
126	16	08.wav	a	b	2	1	5	Embora a sample a tenha me parecido mais padronizada, gosto mais dela por não gostar tanto das escolhas da performance com dinâmica maior (mais humana, na minha percepção)
127	16	05.wav	b	a	1	2	4	
128	16	05.wav	c	b	2	1	4	
129	16	02.wav	b	a	2	1	4	
130	17	08.wav	c	b	2	2	4	
131	17	06.wav	c	b	1	1	3	
132	17	05.wav	b	c	2	2	3	
133	17	02.wav	c	b	2	2	4	
134	17	03.wav	a	c	2	2	4	
135	17	01.wav	a	b	2	2	2	
136	17	06.wav	a	c	1	1	2	
137	17	04.wav	a	b	2	2	3	
138	17	02.wav	a	b	1	1	1	Chutei A, não consegui nem ter uma opinião sobre esse par... =/
139	17	05.wav	b	a	2	2	5	
140	17	07.wav	c	b	1	1	4	
141	17	08.wav	a	b	2	2	5	
142	18	01.wav	b	a	1	1	1	
143	18	06.wav	b	a	1	1	1	
144	18	04.wav	c	b	1	1	3	
145	19	01.wav	b	c	1	2	3	
146	19	07.wav	a	b	1	2	2	
147	23	01.wav	b	c	2	2	5	
148	23	07.wav	b	a	1	1	4	
149	23	07.wav	c	a	1	1	3	
150	23	03.wav	b	a	2	2	4	
151	23	06.wav	a	b	1	1	3	
152	23	05.wav	b	c	2	2	3	
153	23	02.wav	c	b	1	1	4	
154	23	04.wav	c	a	1	1	2	
155	23	06.wav	b	c	2	2	4	
156	23	04.wav	c	b	1	1	5	
157	23	01.wav	b	a	1	1	4	
158	23	08.wav	a	b	1	1	2	
159	24	05.wav	b	a	2	2	5	
160	24	02.wav	c	b	2	2	2	
161	24	06.wav	a	c	1	1	2	
162	24	02.wav	b	a	2	2	2	
163	24	08.wav	b	c	1	1	2	
164	24	03.wav	a	c	2	2	2	
165	24	06.wav	c	b	2	2	1	
166	24	07.wav	b	a	2	2	1	
167	24	03.wav	c	b	2	2	1	
168	24	08.wav	b	a	2	2	1	
169	24	04.wav	b	a	1	2	1	
170	24	01.wav	b	c	2	2	2	
171	25	08.wav	c	a	2	2	4	
172	25	01.wav	c	b	2	2	2	
173	25	08.wav	c	b	2	2	4	
174	25	07.wav	b	c	1	1	4	
175	25	03.wav	a	c	1	1	4	
176	25	04.wav	a	b	1	1	4	
177	25	02.wav	c	b	2	2	4	
178	25	05.wav	a	b	2	2	4	
179	25	06.wav	c	b	2	2	4	
180	25	03.wav	a	b	2	2	3	
181	25	07.wav	b	a	2	2	2	
182	25	01.wav	b	a	2	2	2	
183	26	07.wav	a	b	2	2	4	
184	26	08.wav	c	b	1	1	3	
185	26	04.wav	c	a	1	2	5	
186	26	01.wav	c	b	2	2	4	
187	26	05.wav	c	b	1	1	3	
188	26	01.wav	b	a	1	1	5	
189	26	02.wav	b	a	1	2	4	
190	26	06.wav	b	a	2	1	2	
191	26	03.wav	b	c	1	1	5	
192	26	05.wav	c	a	1	2	4	
193	26	08.wav	b	a	1	2	5	
194	26	06.wav	b	c	2	1	4	
195	27	03.wav	c	b	2	1	3	
196	27	08.wav	a	b	1	1	3	
197	27	06.wav	c	a	2	2	2	
198	27	07.wav	a	c	2	2	3	
199	27	01.wav	a	b	2	2	2	
200	27	01.wav	b	c	2	2	2	
201	27	02.wav	c	b	1	1	4	
202	27	04.wav	b	c	1	1	4	
203	27	05.wav	b	a	2	2	4	
204	27	02.wav	a	b	2	1	3	It may be that the sample with more dynamic range, presents SPL that are, at times, a bit too loud. If this happens, it could influence the judgment of the user regarding its preference.
205	27	03.wav	b	a	1	1	3	
206	27	08.wav	c	b	1	1	3	
